卡号,消费额,付款方式,性别,年龄,物品
39808,42.7123,CHEQUE,M,46,鲜肉
39808,42.7123,CHEQUE,M,46,乳制品
39808,42.7123,CHEQUE,M,46,糖果
67362,25.3567,CASH,F,28,鲜肉
67362,25.3567,CASH,F,28,糖果
10872,20.6176,CASH,M,36,蔬菜罐头
10872,20.6176,CASH,M,36,冻肉
10872,20.6176,CASH,M,36,啤酒
10872,20.6176,CASH,M,36,鱼类
26748,23.6883,CARD,F,26,乳制品
26748,23.6883,CARD,F,26,白酒
26630,46.4867,CARD,F,35,鲜肉
26630,46.4867,CARD,F,35,白酒
26630,46.4867,CARD,F,35,鱼类
62995,14.0467,CASH,F,30,水果
62995,14.0467,CASH,F,30,软饮料
38765,22.2034,CASH,M,22,啤酒
28935,22.975,CHEQUE,F,46,水果
28935,22.975,CHEQUE,F,46,冻肉
41792,14.5692,CASH,M,22,水果
41792,14.5692,CASH,M,22,鱼类
59480,10.3282,CASH,F,18,水果
59480,10.3282,CASH,F,18,鲜肉
59480,10.3282,CASH,F,18,乳制品
59480,10.3282,CASH,F,18,蔬菜罐头
59480,10.3282,CASH,F,18,白酒
59480,10.3282,CASH,F,18,鱼类
60755,13.7796,CASH,F,48,水果
60755,13.7796,CASH,F,48,鱼类
70998,36.509,CARD,M,43,乳制品
70998,36.509,CARD,M,43,肉罐头
70998,36.509,CARD,M,43,冻肉
70998,36.509,CARD,M,43,鱼类
80617,10.2011,CHEQUE,F,43,软饮料
80617,10.2011,CHEQUE,F,43,鱼类
61144,10.3736,CASH,F,24,水果
61144,10.3736,CASH,F,24,乳制品
61144,10.3736,CASH,F,24,软饮料
61144,10.3736,CASH,F,24,鱼类
36405,34.8222,CHEQUE,F,19,冻肉
36405,34.8222,CHEQUE,F,19,啤酒
36405,34.8222,CHEQUE,F,19,软饮料
76567,42.248,CARD,M,31,水果
76567,42.248,CARD,M,31,蔬菜罐头
76567,42.248,CARD,M,31,鱼类
85699,18.1688,CASH,F,29,鱼类
11357,10.753,CASH,F,26,啤酒
11357,10.753,CASH,F,26,鱼类
97761,32.3184,CARD,F,38,水果
97761,32.3184,CARD,F,38,蔬菜罐头
97761,32.3184,CARD,F,38,白酒
97761,32.3184,CARD,F,38,鱼类
97761,32.3184,CARD,F,38,糖果
20362,31.72,CASH,M,38,冻肉
20362,31.72,CASH,M,38,鱼类
33173,36.8328,CASH,F,43,白酒
33173,36.8328,CASH,F,43,糖果
69934,31.1787,CHEQUE,F,41,鱼类
14743,21.6813,CASH,M,48,水果
14743,21.6813,CASH,M,48,鲜肉
14743,21.6813,CASH,M,48,乳制品
14743,21.6813,CASH,M,48,蔬菜罐头
14743,21.6813,CASH,M,48,肉罐头
14743,21.6813,CASH,M,48,冻肉
14743,21.6813,CASH,M,48,啤酒
14743,21.6813,CASH,M,48,白酒
83071,29.8536,CASH,M,31,啤酒
83071,29.8536,CASH,M,31,糖果
17571,15.27,CARD,F,23,水果
17571,15.27,CARD,F,23,乳制品
17571,15.27,CARD,F,23,冻肉
17571,15.27,CARD,F,23,啤酒
37917,32.2318,CHEQUE,F,32,鲜肉
37917,32.2318,CHEQUE,F,32,白酒
37917,32.2318,CHEQUE,F,32,糖果
47914,44.5913,CASH,F,32,鲜肉
47914,44.5913,CASH,F,32,白酒
47914,44.5913,CASH,F,32,鱼类
